WVZ-Nr. (R | S | E/M),edwoca-ID,,,,,,,
R 629 | S 332 | N73,413,,,,,,,
[R 106/12] | S 379a,414,,,,,,,
R 213 | S 534 | A81d,415,,,,,,,
"R 72,5 | S 504b/6 | A286a/7",416,,,,,,,
R 325 | S 599 | B15,417,,,,,,,
R 303 | S 607 | B21,418,,,,,,,
"R 309,4 [?]",419,,,,,,,
"R 309,2 [?]",420,,,,,,,
"R 309,3 [?]",421,,,,,,,
R 673 | S 701 | N15,422,,,,,,,
"[106,2] ??",423,,,,,,,
R 618c | S 274/3 | N6,424,,,,,,,
R 619 | S 325 | N65,425,,,,,,,
R 658 | S 350 | P6,426,,,,,,,
R 591a | S 273/1 | N5,427,,,,,,,
"R 309,5 [?]",428,,,,,,,
"R 309,6 [?]",429,,,,,,,
"R 338,1 | S 581/1 | B31/1",430,,,,,,,
"R 338,1 | S 581/1 | B31/1",431,,,,,,,
"R 338,2 | S 581/2 | B31/2",432,,,,,,,
"R 338,2 | S 581/2 | B31/2",433,,,,,,,
R 581a | S 305/1 | N35,434,,,,,,,
"R 246,7",435,,,,,,,
"R 245,10 | 
S 560",436,,,,,,,
R 552 | S 82 | M16,437,,,,,,,
R 525 | S 63 | J48,438,,,,,,,
,439,,,,,,,
,440,,,,,,,
,441,,,,,,,
,442,,,,,,,
,443,,,,,,,
,444,,,,,,,
,445,,,,,,,
,446,,,,,,,
,447,,,,,,,
,448,,,,,,,
,449,,,,,,,
,450,,,,,,,
,451,,,,,,,
,452,,,,,,,
,453,,,,,,,
"R 560,2 | S 90/2b | M7/2",454,,,,,,,
"R 560,10 | S 90/10a | M6/1",456,,,,,,,
"R 560,10 | S 90/10a | M6/1",457,,,,,,,
"R 560,10 | S 90/10a | M6/1",458,,,,,,,
"R 560,7 | S 90/7a | M18",459,,,,,,,
R 329 | S 603 | B21/3,460,,,,,,,
R 528 | S 66 | J51,461,,,,,,,
R 506 | S 18 | J4,462,,,,,,,
"R 506,2 | S 18/2 | J4/1",463,,,,,,,
"R 506,5 | S 18/5 | J4/4",464,,,,,,,
R 328 | S 602 | B21/2,465,,,,,,,
R 327 | S 601 | B21/1,466,,,,,,,
"R 560,3 | S 90/3b | M10/2",467,,,,,,,
R 314 | S 624 | B8,468,,,,,,,
R 559 | S 89 | M34a,469,,,,,,,
"R 560,1 | S 90/1b | M31/2",470,,,,,,,
"R 560,1 | S 90/1a | M31/1",471,,,,,,,
R 544 | S 75/2 | M12/2,472,,,,,,,
R 544 | S 75/2 | M12/2,473,,,,,,,
R 564 | S 94 | M38,474,,,,,,,
R 324 | S 598 | B55,475,,,,,,,
R 349 | S 628 | B10,476,,,,,,,
R 325 | S 599 | B15,477,,,,,,,
R 305 | S 610 | B46,478,,,,,,,
R 423 | S 106 | G15,479,,,,,,,
"R 10b,1 | S 161 | A55",480,,,,,,,
R 362 | S 640 | C13,481,,,,,,,
R 363 | S 641 | C7,482,,,,,,,
R 366 | S 644 | C22,483,,,,,,,
R 500 | S 44 | J31,484,,,,,,,
R 369 | S 647 | C19,485,,,,,,,
"R 370,1 | S 648 | C20",486,,,,,,,
"R 370,2 | S 648 | C20",487,,,,,,,
"R 370,2 | S 648 | C20",488,,,,,,,
"R 370,2 | S 648 | C20",489,,,,,,,
R 319 | S 593 | B18,490,,,,,,,
,491,,,,,,,
,492,,,,,,,
(R 579a) | S 166n | A134,493,,,,,,,
,494,,,,,,,
,495,,,,,,,
,496,,,,,,,
,497,,,,,,,
R 423,498,,,,,,,
R 557 | S 87 | L10,499,,,,,,,
R 557 | S 87 | L10,500,,,,,,,
R 557 | S 87 | L10,501,,,,,,,
R 557 | S 87 | L10,502,,,,,,,
R 557 | S 87 | L10,503,,,,,,,
R 32b,504,,,,,,,
R 155 | S 401 | A88a,505,,,,,,,
R 262 | S 429 | A293,506,,,,,,,
R 484 | S 9 | I2,507,,,,,,,
R 423 | S 106 | G15,508,,,,,,,
S 298a | N38,509,,,,,,,
R 76 | S 196/195a | A266,510,,,,,,,
"R 76 | S 196/195a | A266
R 471 | S 130 | D13 ",511,,,,,,,
R 76 | S 196/195a | A266,512,,,,,,,
R 471 | S 130 | D13 ,513,,,,,,,
R 471 | S 130 | D13 ,514,,,,,,,
R 472 | S 131 | D14,515,,,,,,,
R 642 | S 342 | K9,516,,,,,,,
R 18 | S 176 | A167,517,,,,,,,
R 480 | S 5 | I1,518,,,,,,,
R 480 | S 5 | I1,519,,,,,,,
R 480 | S 5 | I1,520,,,,,,,
R 455 | S 124 | H4,521,,,,,,,
R 380 | S 259 | E1,522,,,,,,,
R 374 | S 652 | C24,523,,,,,,,
R 373 | S 651 | C23,524,,,,,,,
R 306 | S 609 | B32,525,,,,,,,
R 412 | S 95 | G1,526,,,,,,,
"R 412 | S 95 | G1
R 357 | S 635 | C9",527,,,,,,,
R 413 | S 96 | G2,528,,,,,,,
"R 429,3 | S 112/3 | G25",529,,,,,,,
R 414 | S 97 | G3,530,,,,,,,
R 415 | S 98 | G9,531,,,,,,,
R 416 | S 99 | G6,532,,,,,,,
R 418 | S 101 | G10,533,,,,,,,
R 418 | S 101 | G10,534,,,,,,,
R 418 | S 101 | G10,536,,,,,,,
R 418 | S 101 | G10,537,,,,,,,
R 418 | S 101 | G10,538,,,,,,,
R 14/9 | S 173 | A158,539,,,,,,,
R 5 | S 144 | A118,540,,,,,,,
R 225 | S 416 | A79,541,,,,,,,
R 105c/20 | S 242 | A60b und A132,542,,,,,,,
R 52 | S 230 | A326,543,,,,,,,
,544,,,,,,,
,545,,,,,,,
R 381 | S 260/1 | E3,546,,,,,,,
R 72 | S 506a | A286a,547,,,,,,,
R 245/3 | S 560/3 | A49,548,,,,,,,
R 333 | S 612 | B36,549,,,,,,,
R 98 | S 694 | Q8,550,,,,,,,
-,551,,,,,,,
R 180 | S 513 | A190,552,,,,,,,
R 72 | S 506a | A286a,553,,,,,,,
R 72/8 | S 506a | A286a,554,,,,,,,
R 72/4 | S 506a | A286a,555,,,,,,,
R 479 | S 4 | I8,556,,,,,,,
?,557,,,,,,,
,558,,,,,,,
R 645 | S 372 | N32,559,,,,,,,
"R 645,1 | S 372 | N32",560,,,,,,,
"R 645,2 | S 372 | N32",561,,,,,,,
"R 645,3 | S 372 | N32",562,,,,,,,
"R 651,5 | S 375 | N63",563,,,,,,,
"R 651,5 | S 375 | N63",564,,,,,,,
R 650 | S 374 | N62,565,,,,,,,
R 105d | S 243 | A60d ,566,,,,,,,
R 557d | S 87 | L10,567,,,,,,,
R 479 | S 4 | I8,568,,,,,,,
R 477 | S 2 | I4,569,,,,,,,
R 477 | S 2 | I4,570,,,,,,,
R 477 | S 2 | I4,571,,,,,,,
R 477 | S 2 | I4,572,,,,,,,
R 477 | S 2 | I4,573,,,,,,,
R 477 | S 2 | I4,574,,,,,,,
R 477 | S 2 | I4,575,,,,,,,
"R 498 [nach R 10 b,1] | S 60 | J44",576,,,,,,,
R 502 | S 36 | J21,577,,,,,,,
R 502 | S 36 | J21,578,,,,,,,
R 502 | S 36 | J21,579,,,,,,,
R 458 | S 123 | H12,580,,,,,,,
R 539 | S 69 | L8,581,,,,,,,
R 539 | S 69 | L8,582,,,,,,,
R 539 | S 69 | L8,583,,,,,,,
R 539 | S 69 | L8,584,,,,,,,
R 539 | S 69 | L8,585,,,,,,,
R 539 | S 69 | L8,586,,,,,,,
R 478 | S 3 | I7,587,,,,,,,
R 478 | S 3 | I7,588,,,,,,,
R 478 | S 3 | I7,589,,,,,,,
R 478 | S 3 | I7,590,,,,,,,
R 478 | S 3 | I7,591,,,,,,,
R 478 | S 3 | I7,592,,,,,,,
R 478 | S 3 | I7,593,,,,,,,
R 478 | S 3 | I7,594,,,,,,,
R 478 | S 3 | I7,595,,,,,,,
