edwoca,Name (RD),Name (abweichend),Infos,Art,GND-ID,Name GND
GND,,,,Person,118502875,"Andrássy, Gyula"
GND,,,,Person,101766837X,"Czartoryski, Georg Konstantin"
GND,,,,Person,130226238,"Ernst I., Sachsen-Altenburg, Herzog"
GND,,,,Person,103888039,"Famincyn, Aleksandr"
GND,,,,Person,116849959,"Lebert, Sigmund"
GND,,,,Person,118697641,"Grieg, Edvard"
GND,,,,Person,116099968,"Bechstein, Carl"
GND,,,,Person,1146045360,"Rappoldi, Laura"
GND,,,,Person,11746807X,"Servais, Franz"
GND,,,,Person,117256315,"Schulz-Beuthen, Heinrich"
GND,,,,Person,117039926,"Nohl, Ludwig"
GND,,,,Person,118863541,"Holmès, Augusta"
